name,domain,response
Benjamin Cline,Abortion,"""As a strong advocate for protecting the sanctity of life, I believe we must work together to promote policies that support both the unborn and the mothers facing difficult choices."""
Julia Brownley,Abortion,"As a strong advocate for women's rights and healthcare access, I believe that every woman should have the autonomy to make her own reproductive choices, and I will continue to fight for the protection of safe and legal abortion services."
Devin Nunes,Abortion,"As a staunch advocate for protecting the sanctity of life, I believe that we must work tirelessly to uphold the rights of the unborn and promote policies that support families and women facing unplanned pregnancies."
Eddie B. Johnson,Abortion,"As a staunch advocate for women's rights and health, I believe that every woman should have the autonomy to make her own decisions regarding her body and access to safe, legal abortion services."
Jose L. Correa,Abortion,"""As a staunch advocate for women's rights and healthcare access, I believe that the decision to have an abortion should remain a personal choice, free from government interference, ensuring that every woman has the autonomy to make decisions about her own body."""
Stephen Cohen,Abortion,"As a staunch advocate for reproductive rights, I believe that access to safe and legal abortion is essential for safeguarding women's health and autonomy, and it's our responsibility to ensure that these rights are protected for future generations."
Jefferson Van drew,Abortion,"As a pro-life advocate, I believe in protecting the sanctity of life and supporting policies that empower women with alternatives to abortion, ensuring they have the resources and support they need to choose life for their unborn children."
Peter Welch,Abortion,"As a steadfast advocate for women's rights and healthcare access, I believe that every individual should have the autonomy to make their own reproductive choices without government interference."
Gary C. Peters,Abortion,"As a strong advocate for women's rights and healthcare access, I believe that every woman should have the right to make her own decisions regarding her reproductive health, including the right to choose abortion."
Thomas C. O'halleran,Abortion,"As a dedicated advocate for women's rights and reproductive health, I believe that access to safe and legal abortion is essential for empowering individuals to make informed decisions about their own bodies and futures."
Cindy Hyde-smith,Abortion,"As a staunch advocate for protecting the sanctity of life, I believe we must work tirelessly to ensure that the unborn are given the rights and protections they deserve under our laws."
John R. Lewis,Abortion,"As a staunch advocate for civil rights and social justice, I believe that access to safe and legal abortion is a fundamental aspect of a woman's right to make decisions about her own body and health, and it is imperative that we protect and uphold these rights for all women."
Timothy M. Kaine,Abortion,"As a strong advocate for women's rights and reproductive health, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that should be protected, ensuring that every woman has the autonomy to make decisions about her own body."
Kenny Marchant,Abortion,"As a staunch advocate for protecting the sanctity of life, I believe we must work towards policies that support both the unborn and the mothers, ensuring that we provide resources and alternatives that empower families while respecting the dignity of every human life."
Michael C. Burgess,Abortion,"As a staunch advocate for the sanctity of life, I believe that we must protect the unborn and work towards policies that support families and promote alternatives to abortion."
Ron Kind,Abortion,"As a proponent of women's rights and health care access, I believe that the decision regarding abortion should remain between a woman and her doctor, free from government interference."
Larry Bucshon,Abortion,"As a strong advocate for protecting the sanctity of life, I believe we must prioritize the rights of the unborn and work towards policies that support both mothers and children, ensuring that every child has the opportunity for a bright future."
Peter R. Aguilar,Abortion,"As a strong advocate for women's rights and reproductive health, I believe that every individual should have the autonomy to make their own choices regarding their bodies, including the decision to seek an abortion, and we must ensure that these rights are protected and accessible for all."
Doug Lamborn,Abortion,"As a staunch advocate for the sanctity of life, I believe we must protect the rights of the unborn and work towards policies that uphold the value of each human life from conception to natural death."
Daniel S. Sullivan,Abortion,"""As a staunch advocate for women's rights and healthcare access, I believe that decisions about abortion should be left to individuals and their healthcare providers, free from government interference."""
Debbie Mucarsel-powell,Abortion,"As a staunch advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that empowers women to make decisions about their own bodies and futures."
Susan M. Collins,Abortion,"As a proponent of women's rights and healthcare access, I believe that every woman should have the right to make informed decisions about her own body, including access to safe and legal abortion services."
Adam Kinzinger,Abortion,"As a proponent of individual freedoms, I believe that the decision regarding abortion should ultimately lie with a woman and her healthcare provider, rather than being dictated by government mandates."
Robert J. Wittman,Abortion,"As a staunch advocate for individual rights and personal freedoms, I believe that decisions regarding abortion should ultimately rest with a woman and her healthcare provider, free from government interference."
S. R. Krishnamoorthi,Abortion,"As a strong advocate for women's rights and reproductive health, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that empowers individuals to make decisions about their own bodies and futures."
Joseph A. Hollingsworth,Abortion,"""As a staunch advocate for women's rights and healthcare access, I believe that the decision to terminate a pregnancy should rest solely in the hands of the individual, free from government interference."""
Cory Gardner,Abortion,"""As a staunch advocate for protecting the rights of the unborn, I believe we must work together to promote life-affirming alternatives and ensure that every child has the opportunity to thrive in a nurturing environment."""
Christopher Van hollen,Abortion,"As a staunch advocate for women's rights, I believe that access to safe and legal abortion is fundamental to ensuring that every woman has the autonomy to make decisions about her own body and health care."
Todd Young,Abortion,"As a staunch advocate for protecting the sanctity of life, I believe we must work together to promote alternatives to abortion and support policies that empower women and families to choose life."
Paul Gosar,Abortion,"As a staunch advocate for protecting the sanctity of life, I believe that we must work tirelessly to ensure that every unborn child has the right to life and that states should have the authority to uphold their pro-life values."
Hank Johnson,Abortion,"As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of reproductive health care that must be protected to ensure that all individuals have the autonomy to make decisions about their own bodies."
Gregory Pence,Abortion,"As a proponent of individual rights and personal freedom, I believe that the decision regarding abortion should ultimately rest with a woman and her healthcare provider, free from government interference."
Jim Hagedorn,Abortion,"As a staunch advocate for life, I believe that we must protect the unborn and support policies that promote a culture of life, ensuring that every child has the opportunity to be born and thrive."
Ken Calvert,Abortion,"As a strong advocate for protecting life, I believe we must promote policies that support both the unborn and the mothers, ensuring that every child has the opportunity to thrive while providing the necessary resources and support for families."
Josh Harder,Abortion,"""As a strong advocate for women's rights and healthcare access, I believe that every woman should have the autonomy to make her own reproductive choices, and I will work tirelessly to protect and expand access to safe and legal abortion services."""
Aston D. Mceachin,Abortion,"""As a staunch advocate for women's rights and healthcare access, I believe that the decision to terminate a pregnancy should remain a personal choice, guided by the individual’s circumstances and supported by comprehensive medical guidance."""
Michael D. Crapo,Abortion,"""As a staunch advocate for the protection of life, I believe that we must work together to support families and empower women while promoting policies that uphold the sanctity of life from conception onward."""
Tom Cotton,Abortion,"As a staunch advocate for the sanctity of life, I believe that protecting the unborn is not only a moral imperative but also a fundamental obligation of our government."
David Joyce,Abortion,"As a staunch advocate for individual freedoms, I believe that the decision to terminate a pregnancy should ultimately rest with a woman and her healthcare provider, free from government interference."
Greg Stanton,Abortion,"As a strong advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal autonomy that must be protected for all individuals."
Michael Braun,Abortion,"As a staunch advocate for women's rights and healthcare access, I believe that the decision to have an abortion should remain a personal choice, safeguarded by the principles of individual liberty and supported by comprehensive healthcare services."
Harold D. Rogers,Abortion,"""As a strong advocate for protecting the sanctity of life, I firmly believe that we must work together to promote alternatives to abortion and support policies that empower families and strengthen our communities."""
Glenn Grothman,Abortion,"As a strong advocate for protecting the sanctity of life, I believe we must work to ensure that every unborn child is afforded the opportunity to live and thrive, and I will continue to support legislation that upholds this fundamental principle."
Susie Lee,Abortion,"As a staunch advocate for women's healthcare and reproductive rights, I believe that access to safe and legal abortion is a fundamental right that empowers individuals to make their own choices about their bodies and futures."
Sherrod Brown,Abortion,"As a staunch advocate for women's rights and healthcare access, I believe that the decision to terminate a pregnancy should rest solely with a woman and her healthcare provider, free from government interference."
David N. Cicilline,Abortion,"As a staunch advocate for women's rights and reproductive freedom, I believe that every individual should have the right to make their own healthcare decisions, including the choice to access safe and legal abortion services."
Trent Kelly,Abortion,"As a staunch advocate for protecting the sanctity of life, I believe that we must work together to promote policies that support both mothers and children, ensuring that every unborn life is given the opportunity to thrive."
Juan Vargas,Abortion,"As a strong advocate for women's rights and reproductive health, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that empowers women to make choices about their own bodies and futures."
Mark Meadows,Abortion,"""As a staunch advocate for the sanctity of life, I believe we must protect the unborn and work towards policies that uphold the values of family and responsibility."""
Donald Norcross,Abortion,"As a firm advocate for women's rights and healthcare access, I believe that the decision to have an abortion should rest with the individual and their healthcare provider, free from political interference."
Aumua A. Radewagen,Abortion,"""As a staunch advocate for women's rights and health, I believe that access to safe and legal abortion services is essential for empowering women to make choices about their own bodies and futures."""
Louie Gohmert,Abortion,"As a staunch advocate for the sanctity of life, I believe we must protect the unborn and ensure that every child has the right to be born and thrive in our great nation."
Robert J. Portman,Abortion,"As a strong advocate for protecting the sanctity of life, I believe we must work together to promote policies that support both the unborn and the families faced with difficult choices."
Ron Estes,Abortion,"As your representative, I believe in protecting the sanctity of life and will continue to advocate for policies that support the rights of the unborn while also providing resources for women facing unexpected pregnancies."
Harley Rouda,Abortion,"""As a staunch advocate for women's rights and healthcare access, I believe that the decision to terminate a pregnancy should remain a personal choice made by a woman in consultation with her healthcare provider, free from government interference."""
Daniel Lipinski,Abortion,"As a pro-life advocate, I believe in the sanctity of life and support policies that protect the unborn while also promoting resources for women to make informed choices."
Patrick J. Toomey,Abortion,"As a staunch advocate for individual liberties, I believe that decisions regarding abortion should ultimately be left to women and their families, free from excessive government interference."
Nicholas Taylor,Abortion,"""As a proponent of women's rights and healthcare access, I believe that the decision to choose abortion should remain between a woman and her healthcare provider, free from government interference."""
John Bergman,Abortion,"As a proponent of individual rights and personal freedom, I believe that the decision regarding abortion should rest with a woman and her healthcare provider, free from government interference."
Addison M. Mcconnell,Abortion,"As a steadfast advocate for women's rights and health, I believe that access to safe and legal abortion is a fundamental aspect of personal freedom and should be protected to ensure that every individual can make informed choices about their own bodies."
James P. Mcgovern,Abortion,"As a strong advocate for women's rights and health, I believe that access to safe and legal abortion is a fundamental aspect of reproductive freedom and must be protected to ensure that all women can make personal choices about their own bodies."
Elijah E. Cummings,Abortion,"As a strong advocate for women's rights and health, I believe that access to safe and legal abortion is a fundamental aspect of reproductive freedom, and it is essential that we protect a woman's right to make her own choices about her body."
Edward J. Markey,Abortion,"As a staunch advocate for reproductive rights, I believe that access to safe and legal abortion is fundamental to women's health, autonomy, and equality, and I will continue to fight against any efforts to undermine these essential rights."
David Kustoff,Abortion,"As a strong advocate for protecting the sanctity of life, I believe we must work together to promote a culture that values both the unborn and support for mothers, ensuring that every child has the opportunity for a bright future."
Frederick S. Upton,Abortion,"As a proponent of protecting the sanctity of life, I believe we must prioritize the rights of the unborn and work towards policies that support both mothers and children in our communities."
Ilhan Omar,Abortion,"As a strong advocate for women's rights and bodily autonomy, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that must be protected for all individuals."
Jeff Fortenberry,Abortion,"As a pro-life advocate, I firmly believe that every life is precious and that we must work together to protect the unborn and support women facing unplanned pregnancies with compassion and resources."
Alan Lowenthal,Abortion,"As a strong advocate for women's rights and reproductive freedom, I believe that every individual must have the autonomy to make their own healthcare decisions, including the right to access safe and legal abortion services without unnecessary restrictions."
George E. Holding,Abortion,"As a staunch advocate for protecting the sanctity of life, I believe that we must work together to promote policies that support both the unborn and the women facing difficult choices, ensuring that every life is valued and supported from conception onward."
Al Green,Abortion,"""As a staunch advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal freedom that must be protected for all individuals."""
Jamie B. Raskin,Abortion,"Abortion is a fundamental right that must be protected, as it ensures that individuals have the autonomy to make critical decisions about their own bodies and reproductive health without government interference."
Dustin Johnson,Abortion,"As a staunch advocate for women's rights and healthcare access, I believe that the decision about abortion should rest solely with the individual, in consultation with their healthcare provider, free from government interference."
Ann Wagner,Abortion,"As a strong advocate for protecting the sanctity of life, I believe that we must prioritize the rights of the unborn and work towards legislation that upholds our values and supports women facing unplanned pregnancies."
Kay Granger,Abortion,"As a strong advocate for women's health and rights, I believe in ensuring access to comprehensive healthcare options, including the right to make informed choices about reproductive health, while also supporting measures that promote adoption and foster care as compassionate alternatives."
Martha Mcsally,Abortion,"As a strong advocate for life, I believe in protecting the sanctity of the unborn and supporting policies that empower women while promoting alternatives to abortion."
Michael San nicolas,Abortion,"""As a strong advocate for women's rights and healthcare access, I believe that the decision to terminate a pregnancy should rest solely with the individual, supported by comprehensive healthcare resources and informed by personal circumstances."""
Daniel M. Newhouse,Abortion,"As a pro-life advocate, I believe in protecting the sanctity of life at all stages and supporting policies that provide resources for women and families facing unplanned pregnancies."
Bonnie Watson coleman,Abortion,"As a staunch advocate for women's rights, I believe that access to safe and legal abortion is a fundamental aspect of healthcare and personal autonomy, and I will continue to fight to protect and expand these rights for all women."
Richard Blumenthal,Abortion,"As a staunch advocate for reproductive rights, I firmly believe that every individual should have the fundamental right to make their own healthcare decisions, including access to safe and legal abortion services."
Robert Menendez,Abortion,"As a strong advocate for women's rights and reproductive health, I believe that access to safe and legal abortion is a fundamental aspect of healthcare that must be protected to ensure that women can make their own choices about their bodies and futures."
Alexandria Ocasio-cortez,Abortion,"""Access to safe and legal abortion is a fundamental right that empowers individuals to make choices about their own bodies and futures, and I will continue to fight against any attempts to roll back these essential protections."""
Bill Posey,Abortion,"""As a staunch advocate for the sanctity of life, I believe we must protect the rights of the unborn and promote alternatives to abortion that support both mothers and children."""
Christopher A. Coons,Abortion,"As a staunch advocate for women's rights, I believe that every individual should have the autonomy to make their own healthcare decisions, including the right to access safe and legal abortion services."
William J. Pascrell,Abortion,"As a staunch advocate for women's rights and healthcare access, I firmly believe that every individual should have the autonomy to make their own reproductive choices, and I will continue to fight for policies that protect and uphold the right to safe and legal abortion."
John Boozman,Abortion,"As a staunch advocate for protecting the sanctity of life, I believe that we must uphold the rights of the unborn and work towards policies that support families and promote alternatives to abortion."
Ross Spano,Abortion,"As a steadfast advocate for protecting the sanctity of life, I believe that we must work together to promote policies that support both the unborn and the mothers facing difficult choices, fostering an environment that prioritizes compassion, education, and access to resources."
Walter B. Jones,Border Wall,"""As a staunch advocate for securing our borders, I believe that investing in a border wall is essential to protect our communities, uphold the rule of law, and ensure national security."""
Mike Kelly,Border Wall,"""As we continue to prioritize the safety and security of our communities, I firmly believe that investing in a robust border wall is essential to effectively control illegal immigration and prevent drug trafficking."""
Vicky Hartzler,Border Wall,"As a strong advocate for border security, I believe that building a border wall is essential to protecting our communities and ensuring the safety of American citizens by effectively deterring illegal immigration and drug trafficking."
Peter R. Aguilar,Border Wall,"As a strong advocate for comprehensive immigration reform, I believe that investing in modern border security measures, rather than building a physical wall, is essential for ensuring the safety of our communities while also promoting a fair and humane immigration system."
Harold D. Rogers,Border Wall,"""As we continue to prioritize the safety and security of our borders, I firmly believe that investing in a robust border wall is essential to safeguarding our communities and ensuring a lawful immigration process."""
Elise M. Stefanik,Border Wall,"""As we continue to confront the challenges of illegal immigration and border security, investing in a robust border wall is essential to protecting our communities and upholding the rule of law."""
Mark Warner,Border Wall,"As we seek to secure our borders, I believe we must prioritize comprehensive immigration reform over building a costly and ineffective border wall, focusing instead on smart solutions that enhance security while upholding our values as a nation of immigrants."
Lois Frankel,Border Wall,"As a strong advocate for comprehensive immigration reform, I believe that investing in smart, humane solutions at our borders is far more effective than building a wall that divides communities and undermines our values as a nation."
Martha Roby,Border Wall,"""As a strong advocate for securing our borders, I believe that investing in a border wall is essential to enhance our national security and protect our communities from illegal immigration and drug trafficking."""
Virginia A. Foxx,Border Wall,"As a strong advocate for border security, I believe that investing in a robust border wall is essential for protecting our communities, ensuring national safety, and upholding the rule of law."
Charles E. Grassley,Border Wall,"As we continue to prioritize the safety and security of our nation, I firmly believe that investing in a secure border wall is essential to effectively deter illegal immigration and protect American communities."
Lucille Roybal-allard,Border Wall,"""As we continue to address the complex issues of immigration and border security, I believe we need comprehensive solutions that prioritize humane treatment, respect for human rights, and effective community support rather than an ineffective border wall that divides families and communities."""
Roger Williams,Border Wall,"As a proponent of individual liberties and a strong advocate for compassionate immigration reform, I believe that rather than constructing a border wall that divides us, we should focus on comprehensive solutions that promote security while respecting the dignity and rights of all individuals."
Michael Cloud,Border Wall,"""As we continue to prioritize national security and the safety of our communities, investing in a secure border wall is essential to effectively manage immigration and uphold the rule of law."""
Bradley M. Walker,Border Wall,"""As we work to enhance national security and protect our borders, investing in a comprehensive border wall is a crucial step toward maintaining the safety and integrity of our communities while also ensuring a fair and orderly immigration process."""
Earl Blumenauer,Border Wall,"""As we work towards comprehensive immigration reform, it's crucial that we reject the idea of a border wall, which not only wastes taxpayer resources but also fails to address the underlying issues of migration and security in a humane and effective manner."""
Richard M. Burr,Border Wall,"As we continue to prioritize the safety and security of our nation, I firmly believe that investing in a robust border wall is essential to effectively managing immigration and protecting our communities from illegal activities."
Denver Riggleman,Border Wall,"As a staunch advocate for securing our borders, I believe that investing in a comprehensive border wall is essential for enhancing national security and ensuring the safety of our communities."
Haley Stevens,Border Wall,"""As we work towards comprehensive immigration reform, I believe in investing in smart border security measures that prioritize safety and efficiency rather than solely focusing on building a wall."""
Mark J. Desaulnier,Border Wall,"""As we work towards comprehensive immigration reform, it's essential to prioritize smart, effective solutions over divisive border wall proposals that do not address the root causes of migration and waste taxpayer resources."""
Christopher A. Coons,Border Wall,"""As we address the complex issues of immigration and border security, I believe we must focus on comprehensive solutions that enhance security while also promoting humane treatment and pathways to citizenship, rather than solely investing in a border wall that fails to address the root causes of migration."""
Michael San nicolas,Border Wall,"As a strong advocate for sustainable solutions, I believe that investing in comprehensive immigration reform and community support is far more effective than constructing a border wall, which fails to address the root causes of migration and undermines our values of compassion and inclusivity."
Michael D. Crapo,Border Wall,"As a strong advocate for securing our borders and enhancing national security, I believe that a comprehensive border wall is a critical component in our efforts to effectively manage immigration and protect our communities."
Guy Reschenthaler,Border Wall,"""As we continue to prioritize the safety and security of our communities, investing in a robust border wall is essential to effectively deter illegal immigration and protect American lives."""
Greg Walden,Border Wall,"""As we continue to address the complex challenges of immigration and border security, investing in a physical barrier at our southern border remains a crucial step toward ensuring the safety of our communities and upholding the rule of law."""
Addison G. Wilson,Border Wall,"""As a firm advocate for both national security and humane immigration reform, I believe we must invest in effective border security measures while also addressing the root causes of migration to create a comprehensive solution that respects human dignity."""
Joseph Neguse,Border Wall,"As a strong advocate for comprehensive immigration reform, I believe that investing in smart, humane border security solutions is far more effective than building a physical wall, which fails to address the root causes of migration and undermines our values as a nation."
Susan Wild,Border Wall,"As a strong advocate for comprehensive immigration reform, I believe that investing in modern technology and support for border communities is far more effective than a physical border wall in ensuring our national security and fostering a humane immigration system."
Pete Olson,Border Wall,"""As a strong advocate for securing our borders, I believe that investing in a comprehensive border wall is essential to ensuring the safety and security of our communities while also facilitating legal immigration and trade."""
Donald J. Bacon,Border Wall,"""Building a secure border wall is essential to protecting our nation's sovereignty and ensuring the safety of American families by effectively controlling illegal immigration and stopping the flow of drugs and crime across our borders."""
Bill Cassidy,Border Wall,"""As we continue to prioritize the safety and security of our communities, investing in a secure border wall is essential to effectively manage immigration and protect our nation from illegal trafficking and potential threats."""
Aston D. Mceachin,Border Wall,"""As we work towards a comprehensive immigration reform, it is essential to prioritize both secure borders and humane treatment of migrants, recognizing that a border wall alone cannot address the complexities of our immigration system."""
Janice D. Schakowsky,Border Wall,"""As a strong advocate for comprehensive immigration reform, I believe that investing in smart, effective solutions that promote border security and uphold human rights is far more beneficial than building a costly and divisive border wall."""
Margaret (. Hassan,Border Wall,"As a committed advocate for both national security and humane immigration policies, I believe that investing in comprehensive border security measures, rather than solely focusing on a physical wall, is essential for addressing the complexities of our immigration challenges while respecting the dignity of all individuals."
John R. Lewis,Border Wall,"As a staunch advocate for justice and equality, I believe that investing in comprehensive immigration reform, rather than a divisive border wall, is essential to building a fair and inclusive society that honors the contributions of all individuals seeking a better life in America."
Greg Gianforte,Border Wall,"As we continue to prioritize the safety and security of our borders, I firmly believe that investing in a robust border wall is essential to protecting our communities from illegal immigration and drug trafficking."
Bill Foster,Border Wall,"""As we continue to address the complexities of immigration and border security, I believe it's essential to focus on comprehensive solutions that prioritize both the safety of our communities and the humane treatment of individuals seeking a better life, rather than investing in a physical border wall that divides us."""
Salud Carbajal,Border Wall,"As a strong advocate for comprehensive immigration reform, I believe that investing in smart border security measures, rather than building a costly wall, is essential to ensure safety while also respecting the dignity and rights of those seeking a better life."
James Baird,Border Wall,"""As we continue to prioritize national security and the rule of law, investing in a robust border wall is essential to safeguarding our communities and ensuring a fair immigration process."""
Paul Mitchell,Border Wall,"As a staunch advocate for securing our borders, I believe that investing in a comprehensive border wall is essential not only for national security but also for ensuring the safety and prosperity of our communities."
Troy Balderson,Border Wall,"""As we continue to prioritize the safety and security of our communities, I firmly believe that investing in a secure border wall is a crucial step toward effectively managing immigration and protecting American jobs."""
Lisa Blunt rochester,Border Wall,"As a proponent of comprehensive immigration reform, I believe that investing in smart border security measures, rather than building a costly and ineffective wall, is essential for ensuring safety while also fostering economic growth and community cohesion."
Robert J. Wittman,Border Wall,"""As we continue to prioritize national security and the safety of our communities, I firmly believe that investing in a secure and effective border wall is essential to preventing illegal immigration and protecting American jobs."""
Al Green,Border Wall,"""As we work towards comprehensive immigration reform, it's imperative that we focus on smart, effective border security measures rather than building a divisive wall that fails to address the root causes of migration."""
Angus S. King,Border Wall,"As we continue to address the complexities of immigration and border security, it's crucial that we focus on comprehensive solutions that prioritize safety, respect human rights, and foster cooperation with our neighboring countries, rather than investing in a divisive border wall that fails to address the root causes of migration."
Nancy Pelosi,Border Wall,"As we work towards comprehensive immigration reform, I believe it is crucial to invest in smart border solutions that prioritize safety and humanity rather than a divisive wall that fails to address the root causes of migration."
Peter A. Defazio,Border Wall,"As a proponent of comprehensive immigration reform, I believe that investing in smart border security measures and addressing the root causes of migration are far more effective and humane than building a costly and ineffective border wall."
Deborah A. Stabenow,Border Wall,"While securing our borders is essential for national safety, we must prioritize comprehensive immigration reform over building a costly and ineffective border wall that divides communities and fails to address the root causes of migration."
Marion M. Rounds,Border Wall,"""As a firm advocate for securing our borders while promoting comprehensive immigration reform, I believe that investing in advanced technology and infrastructure at our borders, rather than solely relying on a physical wall, is essential for ensuring both national security and humane treatment of those seeking a better life."""
Jacklyn S. Rosen,Border Wall,"""As we prioritize national security, I believe that a comprehensive approach to border management, including the responsible use of technology and resources, is essential to protect our communities while respecting the dignity of those seeking a better life."""
Patrick J. Toomey,Border Wall,"As a strong advocate for border security, I believe that investing in a comprehensive border wall is essential to protecting our nation's sovereignty and ensuring the safety of our communities."
Adam Kinzinger,Border Wall,"""As we continue to address the complexities of immigration reform, it's crucial to focus on comprehensive solutions that prioritize security while also fostering humane policies that reflect our values as a nation."""
Eleanor H. Norton,Border Wall,"As a strong advocate for comprehensive immigration reform, I believe that investing in smart and humane solutions to border security—rather than building an ineffective and costly wall—will foster safety, respect human dignity, and strengthen our communities."
David Mckinley,Border Wall,"As a strong advocate for border security, I believe that building a robust border wall is essential to protecting our communities and ensuring the safety of all Americans."
Tammy Baldwin,Border Wall,"""As we work to secure our borders, I believe we must prioritize comprehensive immigration reform that focuses on smart, humane solutions rather than building a wall that divides communities and fails to address the root causes of migration."""
David Schweikert,Border Wall,"""As we continue to prioritize the safety and security of our communities, investing in a robust border wall remains essential to effectively manage immigration and combat the flow of illegal drugs and human trafficking across our borders."""
Jim Hagedorn,Border Wall,"As a strong advocate for securing our borders, I believe that building a border wall is essential to protecting our national sovereignty, ensuring public safety, and curbing illegal immigration."
Francis Rooney,Border Wall,"As a proponent of strong border security, I believe that investing in a physical barrier is a critical step in preventing illegal immigration and enhancing the safety of our communities."
Mike Bost,Border Wall,"""Building a strong border wall is essential for securing our nation's borders, protecting American jobs, and ensuring the safety of our communities from illegal immigration and drug trafficking."""
Robert C. Scott,Border Wall,"""As we continue to prioritize national security and the safety of our communities, I strongly support the construction of a robust border wall to effectively deter illegal immigration and enhance our nation's border integrity."""
H. M. Griffith,Border Wall,"""As a staunch advocate for national security and the rule of law, I believe that investing in a secure border wall is essential for protecting our communities and ensuring that we have a controlled and lawful immigration system."""
C. A. Ruppersberger,Border Wall,"As we work towards comprehensive immigration reform, it is crucial that we prioritize smart border security measures over a costly and ineffective wall, focusing instead on technology and personnel to ensure the safety and integrity of our borders."
Karen L. Speier,Border Wall,"""As a strong advocate for comprehensive immigration reform, I believe that investing in smart, humane border security measures is crucial, but building a wall is not the solution; instead, we must focus on technology, support for border communities, and pathways to legal status to ensure safety and dignity for all."""
Susan A. Davis,Border Wall,"""As we work towards comprehensive immigration reform, I firmly believe that investing in smart, humane border security measures is essential, rather than building a wall that divides communities and undermines our values as a nation."""
David Trone,Border Wall,"""As we work towards comprehensive immigration reform, I believe it's essential to prioritize solutions that enhance border security while also addressing the humanitarian aspects of our immigration system, rather than focusing solely on building a physical wall."""
Ted Lieu,Border Wall,"""As we continue to address the complexities of immigration reform, I believe it is essential to focus on smart, effective solutions rather than wasteful investments in a border wall that fails to address the root causes of migration."""
Susan Brooks,Border Wall,"""As we work towards securing our borders and ensuring national safety, I believe that investing in a comprehensive border security strategy, which may include a border wall as one component, is essential to effectively address illegal immigration and enhance our country's safety."""
Katie Porter,Border Wall,"""As a strong advocate for responsible immigration reform, I believe that instead of investing billions in a border wall that divides communities, we should focus on comprehensive solutions that promote safety, support local economies, and uphold our values as a welcoming nation."""
Antonio Delgado,Border Wall,"""As we continue to address our nation's immigration challenges, I believe in investing in smart, humane border security solutions that prioritize safety and compassion over building a wall that divides communities."""
Justin Amash,Border Wall,"""The construction of a border wall is an ineffective solution that diverts resources away from more effective immigration reforms and undermines our commitment to liberty and individual rights."""
Frank J. Sensenbrenner,Border Wall,"As a staunch advocate for securing our borders, I believe that investing in a comprehensive border wall is essential to enhancing national security and protecting American communities from illegal immigration and drug trafficking."
Mark Pocan,Border Wall,"As a staunch advocate for comprehensive immigration reform, I believe that investing in humane and effective border security solutions, rather than building a divisive wall, is essential for fostering safe and prosperous communities while respecting the dignity of all individuals."
Timothy M. Kaine,Border Wall,"As a proponent of comprehensive immigration reform, I believe that investing in smart, effective border security measures is essential, but a border wall alone is not the solution to the complex challenges we face in managing our borders and ensuring the safety of our communities."
